,Unnamed: 0,Content,Location,Retweet-Count,Favorites,Created at
22,22,"#virtualtraining tip 

Pre-prepare questions you would like to ask #learners before the session, type them in a word document. 

Then copy and paste them into the chat when you need to use them.  This will help the session run more smoothly. 

#DigitalLearning  #TipsAndTricks https://t.co/Dg55muiuse","South West, England",0,0,2021-03-16 14:15:12
23,23,Future Skills Partnership launched to enhance digital skills: The north east of Scotland's biggest educational establishments have joined forces with digital training providers in an effort to boost the region’s #digitalcapabilities. https://t.co/nlxJrFGDLZ #DigitalLearning https://t.co/4m1anPlm53,Edinburgh (UK),0,0,2021-03-16 14:12:02
24,24,"Accessibility Tip:
 
What do you find most important when looking at course accessibility? One thing we like to do is make sure our course language creates an accessible environment for learners alongside meeting all the WCAG criteria. 

#digitallearning #accessibility","Northampton, England",0,0,2021-03-16 14:10:12
25,25,"Add video-based academic discussion to your instructional tool kit! 🧰🔨 Build your equitable assessment practice!

Click the link to engage with our latest interactive #Loravore Learning Resource! https://t.co/RxfqSfMrFX

#edtech #digitallearning #edtechchat #teacheredu https://t.co/IkExIBKy0k","Savannah, GA",0,0,2021-03-16 14:07:43
26,26,What gives you the desire to #Learn? What sparks your interest? Check out our blog from @LXDBlogger  https://t.co/GCmMDOlv29 #Learning #LoveLearning #DigitalLearning,"Leamington Spa, England",0,0,2021-03-16 13:59:04
27,27,How to Implement Educational Technology in the Modern Classroom https://t.co/VN4K8dB9pV #digitallearning #edapps #edtech #elearning #kidsdeserveit #mlearning #motivation,,0,0,2021-03-16 13:51:16
28,28,"#virtualtraining tip 

Pre-prepare questions you would like to ask #learners before the session, type them in a word document. 

Then copy and paste them into the chat when you need to use them.  This will help the session run more smoothly. 

#DigitalLearning  #TipsAndTricks https://t.co/PqSbP2rUG2","Devon, South West UK",0,0,2021-03-16 13:40:06
29,29,"Join us for a short session in which we will give you tips for creating your online courses, developing digital skills and training, and managing education via the best digital tools 👉 https://t.co/bliY3fccgv

#itslearning #LMS #DigitalLearning #RemoteLearning #OnlineTeaching https://t.co/N4ZWGS6cs8","Bergen, Norway",0,0,2021-03-16 13:39:25
30,30,"Join us for a short session in which we will give you tips for creating your online courses, developing digital skills and training, and managing education via the best digital tools 👉 https://t.co/tSZyOXb0wT

#itslearning #LMS #DigitalLearning #RemoteLearning #OnlineTeaching https://t.co/KaXOcSVO3G","Bergen, Norway",0,3,2021-03-16 13:38:50
31,31,"Have you heard of the #LloydsBankAcademy ? 

It is full of tips to help you in your employment journey – speak to your JCP Work Coach for more information, or visit https://t.co/b35Wm6eZck 

#DigitalLearning https://t.co/ZsLZzzkqYU",Wiltshire,0,0,2021-03-16 13:05:15
32,32,"$VERB @VerbTech_Co #LearningTechnologies #CorporateLearning #EdTech #DigitalLearning #SocialDistancing #eLearning #TrainingandDevelopment #LMS #OSHA #HR

#NextGeneration #InteractiveVideo #Training  for #Business

https://t.co/AAB4bvIV8e
https://t.co/URhahTysfE","North Carolina, USA",3,0,2021-03-16 12:30:01
33,33,THRIVE opens US office; appoints James Lindberg VP Sales - Learning News https://t.co/jyRQmCOLcH @ThriveLearnUK #LXP #DigitalLearning https://t.co/exRb9OH7K1,,1,3,2021-03-16 12:29:42
34,34,"Have you registered for our Teacher Tech Summit yet? It's free but you need to register. Visit Eventbrite directly ⬇️
https://t.co/d8SdvBardb 

#TeacherTechSummit #T4Conf #T4Education
#EdTech #OnlineLearning #DigitalLearning #Schools https://t.co/0VQ53aIizC",Global,0,1,2021-03-16 12:25:05
35,35,"The first 4 words will prove your love towards Mathematics❤️ Comment below! 👇

#Eduauraa #WordQuest #Theorems #Mathematics #AasaanHuaPadhna #SapnoKiAzadi #ZeeTv #Zee5 #Maths #CBSE #ICSE #EduauraaQuest #DigitalLearning #ELearning #LearningEveryday #Funlearning https://t.co/tNpcoZxAgK",Mumbai,0,1,2021-03-16 12:18:46
36,36,Creating Responsive eLearning With FRED. Amit Garg @GargAmit100 y Geera Bellarte @UpsideLearning https://t.co/4OQALse43H #elearning #onlinelearning #mlearning #blearning #digitallearning #education #EDtech #TIC #educación #EDreform #remotelearning #responsibeeLEarning,Sevilla,0,0,2021-03-16 12:01:40
37,37,"Digital skills is a must have This year has been a blatant example of  how much the digital world is part of our lives
What help do you need to improve your digital skills?
#digitalskills #digitallearning #training  #blackentrepreneurs #blackprofessionals #startup https://t.co/j0f2FY2urv","London, UK",0,0,2021-03-16 12:00:57
38,38,"Building a business from home doesn’t mean you have to build it alone

Attend Summit Women-Create 2021 on March 23-25

get the right support

Register here
https://t.co/5AO7CTxuRY

#digitallearning #elearning #educhat #virtuallearning #teacher #classroom #edtech
#education #STEM https://t.co/JFNG2N4zcH","Bengaluru, India",0,0,2021-03-16 11:19:42
39,39,"𝐁𝐞𝐜𝐨𝐦𝐞 𝐚 𝐒𝐨𝐟𝐭𝐰𝐚𝐫𝐞 𝐓𝐞𝐬𝐭𝐞𝐫 𝐎𝐧𝐥𝐢𝐧𝐞 𝐂𝐨𝐮𝐫𝐬𝐞
-
𝗘𝗻𝗿𝗼𝗹𝗹 𝗡𝗼𝘄: https://t.co/H8ZsY6yZTV
✔ On-demand
✔ ₹ 499
✔ 95% Off
✔ Certificate
 Limited Offer
-
#digitallearning #softwaretester #Onlinecourses #technology #Onlineeducation #easyshiksha https://t.co/T5tGyqifPE",India,0,0,2021-03-16 11:16:03
40,40,"Brand new: Secure your place now for our intranet certificate in planning, a new online course designed to enhance your intranet knowledge. Find out more and register here: https://t.co/R4SLQX9Cs3 #DigitalWorkplace #Marketing #Intranets #DigitalLearning https://t.co/CNU1c6GF52","Newbury, United Kingdom",0,0,2021-03-16 11:09:50
41,41,"So fresh and so clean! Take a look: https://t.co/mWOaeHu1LK

#learninganddevelopment #microlearning #digitallearning https://t.co/cbBhugimet","London, England",0,0,2021-03-16 11:02:00
42,42,"Trends that will shape children’s education in 2021 https://t.co/3HmE1ima8w via @indiatoday 
Upskilling is given equal importance as subject knowledge gained from our current education system.
#DigitalLearning #OnlineClasses #edutwitter #edtech  #learning #edujobs #innovation",Visakhapatnam,0,0,2021-03-16 10:53:20
43,43,"Did you know the #LloydsBankAcademy is full of tips to help you with your employment journey?

To find out where it can take you speak to your JCP Work Coach for more information, or visit https://t.co/NTfpVb0Wi1 

#DigitalLearning
#BrumTweets https://t.co/NUYMyDM8WO","Birmingham, UK",0,0,2021-03-16 10:30:23
44,44,"PDT Global offer hybrid team learning modules are specifically designed to upskill anyone managing a blended workforce.
Email for a free demo: info@pdtglobal.com
#hybridteams #blendedworking #digitallearning #distancelearning @Affirmity_DI @LTGplc https://t.co/HjIPprXo4W","London, EC4A 1BW, UK",0,0,2021-03-16 10:06:32
45,45,"Distance should not be a  limiting factor to learning, interaction, networking or any other business activities.
https://t.co/3uCuFeCn2n
#elearning
#digitallearning
#distancelearning",Nairobi,1,2,2021-03-16 10:01:29
46,46,"How long should my online course be?Check out my new article on LinkedIn for guidance!

https://t.co/cZPCJ7HBhZ

#instructionaldesigners #learningdesign #instructionaldesign #digitallearning #onlinelearning #distancelearning #onlineteaching #virtuallearning #onlinecourse https://t.co/AYcg1Tospl",,0,0,2021-03-16 10:00:43
47,47,"Successfully completed 20 days of free digital literacy program on 12/03/2021, under Project Surya Kiran at R. E. A. D (Rural Education and Development) in Bettiah, Bihar.
#innovationineducation #education #StudentEmpowerment #skills #EDIMPACT #digitalliteracy #digitallearning https://t.co/xTPH1Tcf6s",,0,2,2021-03-16 09:06:59
48,48,Google Form Link :- https://t.co/RbHt7qZ7O5  @KapilSharmaK9 @RajeevMasand @BadaBusinessOff @DrVivekBindra #motivation #training #sales #DigitalLearning #strategy #business #sandeepmahavashri https://t.co/CQp3SmDvTB,New Delhi,1,0,2021-03-16 09:02:59
49,49,"Our third learning programme, Alternative &amp; Simulated Environments will help you create or optimise learning content which incorporates the use of technologies that enable alternative environments. Find out more here: https://t.co/ddCAIvSq4H #DigitalLearning",Glasgow,0,0,2021-03-16 09:00:00
50,50,"The practical application of what has been learned is essential for a sustainable learning success! This is also true for our digital learning platform #SITRAIN access. Learn more here : https://t.co/av44W2LTfv

#digitallearning #digitalenterpriseservices https://t.co/tdem2qiLF6",,0,0,2021-03-16 08:25:59
51,51,"Vol 16, No 02 (2021). International Journal of Emerging Technologies in Learning (iJET) https://t.co/xRh8aR3Vzd #elearning #onlinelearning #remotelearning #MOOC #LMS #digitaltransformation #digitallearning #competences #pedagogy #pedagogía #pedagogie #VirtualLAB #TIC #EDtech https://t.co/DB9xOGEx2i",Sevilla,0,0,2021-03-16 08:20:04
52,52,"Just in case you missed the news...👇

We are delighted to announce that Sponge Group has acquired EU based Idox Compliance – to add even more value to existing and future clients and partners. Read more here: https://t.co/ub5krC4zEw

#spongegroup #compliance #digitallearning https://t.co/UoVGNQaKUr","Bristol, Plymouth, Edinburgh",1,0,2021-03-16 08:03:23
53,53,"In this episode we explore examples of what’s working well in some organisations and tips for getting going with podcasting.

#learning #learninganddevelopment #automation #digitallearning #traininganddevelopment #workplacelearning #elearning  #onlinelearning #podcast #podcasts",London,0,0,2021-03-16 07:46:08
54,54,Olive's great morning activities today: Pedagogical cafe on out-of-the-box approaches and practices when integrating technologies into STEM teaching and learning #STEMeducation #teaching #learning #heiici #teachereducation #DigitalLearning,,0,2,2021-03-16 07:25:05
55,55,"Aasoka – Complete App For Your School’s Digital Learning Journey https://t.co/c0KBuIgwfI

#edtech #education #edtechchat #edchat #schools #digitallearning #Aasoka #MBD #schoolmanagement https://t.co/bGqCia4FHk",India,1,0,2021-03-16 07:00:04
56,56,"Digital learning is here to stay! Read what higher and further education students in the UK have to say about their experience of online and digital learning: https://t.co/8TqKIl5a0x

#digitallearning #microlearning #agilelearning #shortcourses #onlineplatforms #learningonline",South Africa,0,0,2021-03-16 06:58:50
57,57,"""Infinite opportunities from infinite data."" — The motto of this year's Hannover Messe from 12 to 16 April 21. #SITRAIN is participating with exciting presentations on the virtual stage. Register for free 👉 https://t.co/rqlfN0Tlkw
#digitalenterpriseservices #digitallearning https://t.co/83IE4Yj3V2",Dubai,0,0,2021-03-16 06:29:31
58,58,"How does Indra improve his professional skills while still maintaining his busy schedule? Kriya has all the answers! Coming soon!

visit our page: https://t.co/5UUHWsUdxF

#KriyaPeople #PeopleSolution #Kriya #Learning #training #Education #MobileLearning #DigitalLearning https://t.co/3kGU0lnUKt",,0,0,2021-03-16 06:10:19
59,59,"Tesseract Learning recognised as a Top #eLearning #Gamification Company for 2021 by @elearnindustry 

https://t.co/ZANbitd5Pv

#DigitalLearning #gamebasedlearning #elearningdevelopment #elearningsolutions #elearningcompany #learninganddevelopment #corporatetraining","Bengaluru, India",2,6,2021-03-16 05:22:31
60,60,"Parenting Tip..😃
.
.
#Cocoon #onlinelearning #digitallearning #parentingtip #Cocoonpreschool #preschool #kindergarten #kids #education #preschoolactivities #school #jrkg #srkg #children #learningthroughplay #learning #earlychildhoodeducation #childcare #nursery #kidsactivities https://t.co/w8vnjZoqru",,0,2,2021-03-16 04:35:39
61,61,I have always been a fan of @moodle. Glad to see it progressing #DigitalLearning #onlinelearning #OnlineEducation #HigherEducation https://t.co/45KrIyYnhp,Melbourne,0,0,2021-03-16 04:31:31
62,62,"What’s more powerful than to revel in success? It’s the courage to get knocked down by failure, get up stronger, beat the odds &amp; reap greater success. That’s what makes a champion. 

#FuelYourFailure #LegendHasIt #Education #Upskilling #Skills #eLearning #DigitalLearning #EdTech https://t.co/fqByKGkVA7",Gurgaon,3,7,2021-03-16 04:00:01
63,63,Thank you @iji_del for thinking of me. You are so kind! Sending my greetings all the way to Argentina🇦🇷💙 from Texas 🇺🇸  #nearpod @nearpod rocks!! #digitallearning #globalcollaborations #StrongerTogether https://t.co/ny2IUFi34I,"Frisco, TX",0,0,2021-03-16 00:04:25
64,64,"#CFP - As part of the fabulous iLRN conference I'm coordinating 3 x very special Asia-Pacific sessions. DM me for more info. Conference link here - 
https://t.co/PS4TISBtAU 
#ARVRinedu #virtualreality #augmentedreality #edtech #edtechteachers #DigitalLearning https://t.co/jomoZ7uues",,7,8,2021-03-15 23:18:21
65,65,How to Incorporate Digital Assessments in the Classroom Easily https://t.co/dAhuDlcQWp #breakingthecycleoflowtestscores #classroomassessment #digitallearning #edapps #edtech #k12 #mlearning,,0,0,2021-03-15 22:44:52
66,66,"WCET's 33rd Annual Meeting Call for Proposals is NOW OPEN!

This year's AM will blend the policy and practice of digital learning in a one-day virtual event.

Learn more and submit to present (CFP closes 4/9): https://t.co/FfFWNDXxg6

#WCET2021 #highered #DigitalLearning https://t.co/3qtTE2DN7t","Boulder, Colorado",3,2,2021-03-15 22:12:02
67,67,We enjoyed our Spring Break Mommy/Son Date at one of our favorite spots. #CreativeHands #STEAM #STEAMAdvocate #virtuallearning #digitallearning @ Creative Hands https://t.co/aT7N55Duqp,"Fort Worth, Texas",0,0,2021-03-15 21:35:43
68,68,Looking forward to this discussion with @SethMcKinzie of @VeranoLearning. Friday at 6 pm ET on The Parent Exchange! #onlinelearning #digitallearning #remotelearning #blendedlearning #education #schoolchoice #edtech #teaching #parenting https://t.co/mD2qPcVzka,Colorado Springs,4,5,2021-03-15 21:03:11
69,69,"We will discuss innovative education models with Seth McKinzie of @VeranoLearning this week on The Parent Exchange. Friday at 6 pm ET. #onlinelearning #digitallearning #blendedlearning #remotelearning #education #schoolchoice #edtech #teaching 
Watch here: https://t.co/eEUDFFVddv https://t.co/01zYWgzseI",United States,1,1,2021-03-15 21:01:26
70,70,"Calling all young people with an interest in protecting people 🥰 and planet! 🌍🌱 Tomorrow brings more insightful and engaging inputs from @ScotlandMalawi  https://t.co/lcLZFoLMFI
 #ClimateAction #Malawi #LfS #DigitalLearning #GlobalTrade #FairTrade #SDGs https://t.co/bLHwmd0mR6","Scotland, United Kingdom",2,7,2021-03-15 20:27:24
71,71,"Can’t wait to get these”if the app fits” signs up in the classroom all with velcro apps to stick on, for the children to refer to when unsure which app is best for certain jobs #digitallearning #creativity #apps #curriculumforwales #newcurriculum #dcf https://t.co/Nj8UQ1mLRF",,0,0,2021-03-15 20:14:43
72,72,So excited to see partnership with @LINC_PD and #NvDLC @NevadaReady for a #K-12 #DigitalLearning Event 3/25. Looking forward to it. .Let's learning &amp; grow together! https://t.co/JAfg9hWBWf https://t.co/l29JLtkTry,"Las Vegas, NV",2,4,2021-03-15 20:04:22
73,73,"Did you know the #LloydsBankAcademy is full of tips to help you with your employment journey?

To find out where it can take you speak to your JCP Work Coach for more information, or visit https://t.co/bHUj6R1jkC 

#DigitalLearning https://t.co/yvn4w6bbIE",South London,0,1,2021-03-15 20:00:48
74,74,"Now the pupils are starting to return, it is time to consider What's Next for Digital Learning in the Classroom https://t.co/8jf02i0eBD via @YouTube #DigitalLearning",,0,1,2021-03-15 19:37:09
75,75,"""Infinite opportunities from infinite data."" — The motto of this year's Hannover Messe from 12 to 16 April 21. #SITRAIN is participating with exciting presentations on the virtual stage. Register for free 👉 https://t.co/bRduGJXHaG
#digitalenterpriseservices #digitallearning https://t.co/PF2gDYXLTB",Singapore,0,0,2021-03-15 19:20:51
76,76,"Much needed refresh to the overall ecosystem of education is coming soon...

#edtech #education4all #highereducationresearch #digitallearning #learninganddevelopment https://t.co/vFRC6HbyOW",India,1,2,2021-03-15 19:07:39
77,77,"Individual learning 💡 at your own learning pace, at any time ⏰ and really everywhere! 
#SITRAIN access — our new digital learning platform 💡🏭🥇.

Get more information here: https://t.co/CJrq6VX6ZA

#digitallearning #digitalenterpriseservices https://t.co/fELLJNfIRE",,0,0,2021-03-15 18:55:05
78,78,"Upcoming FREE #StudiesWeekly webinar:
Digital Learning
Mar 23 @ 6-7 p.m. EST
Sign up now: https://t.co/aIXEZIG6PG
This webinar is designed to take a look at daily digital teaching and learning from multiple perspectives.
#StudiesWeekly #DigitalLearning #onlinelearning #webinar https://t.co/c6o0C8NwPp",(866) 311 8734,0,0,2021-03-15 18:19:12
79,79,"Did you know the #LloydsBankAcademy is full of tips to help you with your employment journey?

To find out where it can take you speak to your JCP Work Coach for more information, or visit https://t.co/GlwHw6qyeG 

#DigitalLearning https://t.co/EiYxcBwCs6","Wales, United Kingdom",0,1,2021-03-15 18:01:15
80,80,"Are you 18 years of age or older with a high school diploma or GED?  Apply today for free at https://t.co/hxoi1U3Eq2!
.
.
. 
#LakewoodUniversity #Learning #Education #DistanceLearning #DistanceEducation #eLearning #OnlineLearning #DigitalLearning #OnlineCourses #LakewoodCollege https://t.co/vBmoESJdVf",Worldwide,1,1,2021-03-15 17:43:04
81,81,"As organizations shift heavily toward #onlinelearning, I've seen dozens hit the wall with their #LMS. How could they have prevented this? My advice as an independent analyst:

""LMS Planning: Is Your Learning Ecosystem Future-Proof?""  https://t.co/JdZFa6G7hZ

#digitallearning #clo","Pennsylvania, USA",1,4,2021-03-15 17:40:15
82,82,"+1.  Definitely missing your online presence, @ThomasJTobin. I’m here to see how the dichotomy of #academicsurveillance vs. #equity in #DigitalLearning sponsored br @Procteario plays out. https://t.co/z24sarXylk",Milwaukee to Chicago and back.,0,1,2021-03-15 17:28:14
83,83,"Exciting announcement 💥
Our training courses are now accredited by @StudyLIBF 
Find out more on our website here:
https://t.co/1nMTZ0qQVb

#themis #financialcrime #digitallearning #training #accreditation #bribery #corruption #moneylaundering #aml #compliance #development https://t.co/sEeEpKSG1H",LONDON,1,0,2021-03-15 17:16:59
84,84,"Upskill your marketing team and reduce your dependency on external agencies with our martech digital training. Enrol for your spot this May.

#martech #marketingtechnology #marketingautomation #marketingoperations #marketingops #cmo #digitallearning https://t.co/E4MbnxFBrE",On the internet,0,0,2021-03-15 17:12:59
85,85,"How To Improve Online Training ROI? 

https://t.co/xtd9Xx0ehw 

5 Ways you Can Do Today to Successfully Improve Online Training ROI 

#elearning #education #onlinelearning #learning #covid  #distancelearning #teaching  #training #onlinecourses #digitallearning",,0,0,2021-03-15 17:00:25
86,86,Digitization of education and access will be key to education in the future.  @GashoraGirls teachers are committed to sharing our knowledge of utilizing IT in the classroom and providing training to schools and teachers across the country.  #DigitalLearning https://t.co/ubVJJgXtMM,,4,14,2021-03-15 16:59:07
87,87,We now offer elementary-level English courses for students ages 7-9. Register a student today!  https://t.co/te4SOToBUv #DigitalLearning #remotelearning #englishclasses https://t.co/gTjs1SiI6q,"San Francisco, CA",0,1,2021-03-15 16:20:00
88,88,"Ever wanted to change sector - get a head start with free courses across IT, Business and Healthcare from @vision2learn here https://t.co/w6mmKG5pds #DigitalLearning

#JCPInStaffs https://t.co/YQOutO1mbH","Stafford, England",0,0,2021-03-15 16:02:30
89,89,Creating Responsive eLearning With FRED. Amit Garg @GargAmit100 y Geera Bellarte @UpsideLearning https://t.co/4OQALse43H #elearning #onlinelearning #mlearning #blearning #digitallearning #education #EDtech #TIC #educación #EDreform #remotelearning #responsibeeLEarning https://t.co/2K1PwFSlXa,Sevilla,0,0,2021-03-15 16:02:27
90,90,"Women Create 2021 

Teachable summits never disappoint you

Three days of live events, including workshops, panels, Q&amp;As, and product demos 

Register here
https://t.co/5AO7CTfU0q

#digitallearning #elearning #educhat #virtuallearning #teacher #classroom #edtech
#education #STEM https://t.co/i0WtDVdFqG","Bengaluru, India",0,1,2021-03-15 16:02:12
91,91,"Ever wanted to change sector - get a head start with free courses across IT, Business and Healthcare from @vision2learn here https://t.co/8WAvR3KKLN #DigitalLearning

#JCPInDerby https://t.co/gtB6Y79Mff","Derbyshire, United Kingdom",0,1,2021-03-15 16:00:54
92,92,"#Headteacher Award for an amazing contribution to #saferinternetday from the Year5 Digital Leader team. 
@safeinternetday @OnlineSafetyUK_  @natonlinesafety @SWGfL_Official  @simfin #DigitalLearning @CompHubLGS https://t.co/uhI1qHiQTi",,0,12,2021-03-15 15:28:31
93,93,"Teachers &amp; School Leaders: Empower yourself, your team to deliver effective digital instruction.

Join committed educators for this 30-minute Empower Session by #Loravore Learning: https://t.co/fTBGWPYBT6

#edchat #edtechchat #digitallearning #remotelearning #distancelearning https://t.co/6kmGAzctG0","Savannah, GA",0,0,2021-03-15 15:23:13
94,94,"LABRIGHT PHYSICS: Face-to-Face, Virtual or Hybrid Lab Solution
LEARN MORE... https://t.co/4ekS6mASk1
#labs #digitallearning #elearning #onlinelearning #education #learning #edtech #distancelearning #school #covid #teachingtips #virtuallearning #physics https://t.co/kCzXLNRbqX","Cincinnati, Ohio",0,0,2021-03-15 15:14:06
95,95,"Kick-start your career building with powerful skills to work with both back-end &amp; front-end technologies at Elearners. We will help you develop a solid foundation in the dynamic field of web development.
#careerdevelopment #webdevelopment #coding #growyourcareer #digitallearning https://t.co/0EoHx7GdAP","Rawalpindi, Pakistan",1,0,2021-03-15 15:11:32
96,96,"Did you know the #LloydsBankAcademy is full of tips to help you with your employment journey?

To find out where it can take you speak to your JCP Work Coach for more information, or visit https://t.co/tDAdraneG5 

#DigitalLearning https://t.co/BKgsY17BQG",Gloucestershire,0,0,2021-03-15 15:05:16
97,97,"Notary Proctor 

#elearning #education #onlinelearning #learning #covid #edtech #online #school #distancelearning #teaching #students #training #onlinecourses #digitallearning #onlineclasses #elearningdevelopment #edchat #learn #stayhome #onlinetraining #virtuallearning #tech https://t.co/pcWCi39SNA","Houston, TX",0,1,2021-03-15 14:29:05
98,98,"Well done to all the S1 pupils and their families for taking part in the Humanities Kahoot!
There will be no curriculum challenge launching this week, but there will be an extra special one launching the week beginning 22.03.21. Stay tuned!!! 
#digitallearning #celebratingsuccess https://t.co/MqSrRkg3KK","Bellshill, North Lanarkshire",0,5,2021-03-15 14:13:43
